Title,Date,Place

Adieu,1830,Paris
Albert Savarus,1830,Inconnu
Autre etude de femme,1839,Inconnu
Beatrix,1838,Inconnu
Cesar Birotteau,1837,Paris
Combien l'amour revient,1843,Paris
Deux jeunes mariees,1841,Paris
El verdugo,1829,Paris
Esquisse d'homme d'affaires,1845,Paris
Esther heureuse,Inconnu,Inconnu
Etude de femme,1830,Paris
Eugenie Grandet,1833,Paris
Eve et David,1835,Inconnu
Facino Cane,1836,Paris
Ferragus,1833,Paris
Gambara,1837,Paris
Gaudissart II,1844,Paris
Gobseck,1830,Paris
Honorine,1843,Paris
Jesus Christ en Flandre,1831,Paris
La bourse,1832,Paris
La cousine Bette,1847,Inconnu
La derniere incarnation,1847,Inconnu
La duchesse de Langeais,1834,Genève
La fausse maitresse,1842,Paris
La femme abandonnee,1832,Angoulême
La femme de trente ans,1828,Paris
La fille aux yeux d'or,1834,Paris
La grande Breteche,Inconnu,Inconnu
La Grenadiere,1832,Angoulême
La maison du chat qui pelote,1829,Maffliers
La maison Nucingen,1837,Paris
La messe de l'athee,1836,Paris
La muse du departement,1843,Inconnu
La paix du menage,1829,Inconnu
La peau de chagrin,1830,Paris
La recherche de l'absolu,1834,Paris
L'auberge rouge,1831,Paris
La vendetta,1830,Paris
La vieille fille,1836,Paris
Le bal de Sceaux,1829,Paris
Le Cabinet des Antiques,1837,Jardies
Le chef d'oeuvre inconnu,1832,Paris
Le colonel Chabert,1832,Paris
Le contrat de mariage,1835,Paris
Le cousin Pons,1846,Paris
Le cure de Tours,1832,Saint-Firmin
Le cure de village,1837,Paris
L'elixir de longue vie,1830,Paris
Le lys dans la vallee,1835,Paris
Le medecin de campagne,1832,Inconnu
Le message,1832,Paris
L'enfant maudit,1831,Paris
L'envers de l'histoire contemporaine,1848,Inconnu
Le pere Goriot,1834,Saché
Le requisitionnaire,1831,Paris
Les Chouans,1827,Fougères
Les comediens sans le savoir,1845,Paris
Les deux poetes,Inconnu,inconnu
Les employes,1838,Paris
Les Marana,1832,Paris
Les paysans,Inconnu,Inconnu
Les proscrits,1831,Paris
L'illustre Gaudissart,1832,Paris
L'interdiction,1836,Paris
Louis Lambert,1832,Saché
Madame Firmiani,1831,Paris
Maitre Cornelius,1831,Saché
Massimilla Doni,1839,Paris
Melmoth reconcilie,1835,Paris
Modeste Mignon,1844,Paris
Ou menent les mauvais chemins,1846,Paris
Petites miseres,Inconnu,L
Physiologie du mariage,1824,Paris
Pierre Grassou,1839,Paris
Pierrette,1839,Novembre
Princesse de Cadignan,1839,Jardies
Sarrasine,1830,Paris
Seraphita,1833,Genève et Paris
Sur Catherine de Medicis,1828,Paris
Un debut dans la vie,1842,Paris
Un drame au bord de la mer,1834,Paris
Une double famille,1830,Paris
Une fille d'Eve,1838,Jardies
Une passion dans le desert,1832,Paris
Un episode sous la terreur,1831,Paris
Une tenebreuse affaire,1841,Paris
Un grand homme de province,Inconnu,Inconnu
Un menage de garcon,1842,Paris
Un prince de la boheme,1839,Inconnu
Ursule Mirouet,1841,Paris
Z. Marcas,1840,Jardies

